# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Dec 18 21:46:26 2017
#
# COLUMN UserName:       User Name
# COLUMN SourceTable:    Source Table
# COLUMN Phase:          Phase
# COLUMN Period:         Period [days]
# COLUMN TransitDuration: Transit Duration [hours]
# COLUMN TTV:            TTV flag
# COLUMN Algorithm:      Algorithm
# COLUMN PropMidpointUnc: Propagated Midpoint Uncertainty [days]
# COLUMN MidpointCalendar: Event Midpoint Calendar UT
# COLUMN MidpointJD:     Event Midpoint Calendar UT
# COLUMN MidpointAirmass: Event Midpoint Airmass
#
rowid,UserName,SourceTable,Phase,Period,TransitDuration,TTV,Algorithm,PropMidpointUnc,MidpointCalendar,MidpointJD,MidpointAirmass
1,,,0.00,2.644836000,,,Transit Midpoint,0.000000,12/27/2017 19:05,2458115.29581,1.13
2,,,0.00,2.644836000,,,Transit Midpoint,0.000000,01/04/2018 17:31,2458123.23032,1.05
3,,,0.00,2.644836000,,,Transit Midpoint,0.000000,01/12/2018 15:57,2458131.16483,1.04
4,,,0.00,2.644836000,,,Transit Midpoint,0.000000,01/20/2018 14:23,2458139.09934,1.09
5,,,0.00,2.644836000,,,Transit Midpoint,0.000000,01/28/2018 12:48,2458147.03384,1.23
6,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/02/2018 19:45,2458152.32352,2.41
7,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/05/2018 11:14,2458154.96835,1.51
8,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/10/2018 18:11,2458160.25802,1.65
9,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/13/2018 09:40,2458162.90286,2.09
10,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/18/2018 16:37,2458168.19253,1.30
11,,,0.00,2.644836000,,,Transit Midpoint,0.000000,02/26/2018 15:02,2458176.12704,1.13
12,,,0.00,2.644836000,,,Transit Midpoint,0.000000,03/06/2018 13:28,2458184.06155,1.05
13,,,0.00,2.644836000,,,Transit Midpoint,0.000000,03/14/2018 11:54,2458191.99606,1.04
14,,,0.00,2.644836000,,,Transit Midpoint,0.000000,03/22/2018 10:20,2458199.93056,1.10
15,,,0.00,2.644836000,,,Transit Midpoint,0.000000,04/04/2018 15:42,2458213.15474,2.35
16,,,0.00,2.644836000,,,Transit Midpoint,0.000000,04/12/2018 14:08,2458221.08925,1.62
17,,,0.00,2.644836000,,,Transit Midpoint,0.000000,04/20/2018 12:34,2458229.02376,1.29
18,,,0.00,2.644836000,,,Transit Midpoint,0.000000,04/28/2018 10:59,2458236.95827,1.12
19,,,0.00,2.644836000,,,Transit Midpoint,0.000000,06/04/2018 11:39,2458273.98597,2.29
